SchoolName,Index
Whitebead Public Schools,357
Whitehouse ISD,1841
Whiteriver Unified School District,2032
Whitesboro Independent School District,1601
Whitney Independent School District,2245
Wichita Falls Independent School District,676
Wilber-Clatonia Public School,205
Wilcox-Hildreth Public School,Wilcox-Hildreth
Wildorado ISD,2260
Will County School District 92,1292
Williamson County Schools,566
Williamston Community Schools,1135
Willis ISD,2995
Williston Basin School District #7,2185
Wills Point ISD,873
Wilmington CUSD 209U,1674
Wilson ISD,2779
Wimberley Independent School District,2301
Windom Area Schools,2781
Windsor Public Schools,2419
Windthorst ISD,1118
Win-E-Mac Schools,2811
Winfield School District 34,1425
Wink-Loving ISD,1184
Winnsboro Independent School District,738
Winona ISD,925
Winside Public Schools,winsideschools
Winston Dillard School District,1221
Winters ISD,1415
Wisner-Pilger Public Schools,173
Woden ISD,1800
Wolfe City ISD,1494
Wolsey-Wessington School District,Wolsey-Wessington
Wonewoc-Union Center School District,1449
Wood Dale School District 7,1191
Wood River Rural Schools,192
Woodbridge School District,2455
Woodburn School District,1562
Woodhaven-Brownstown School District,1473
Woodland Public Schools,626
Woodland School District 50,1739
Woodridge School District 68,1790
Woodstock Community Unit School District 200,1277
Woodville ISD,769
Workers' Compensation Self-Insurance Trust,1783
Workforce Solutions Alamo,751
Wrenshall School,2703
WRUSD,893
Wylie Independent School District,2275
Wynnewood Public Schools,528
Yale Public Schools,1235
Yantis ISD,696
Yellow Medicine East ISD 2190,1157
York County,144
Ysleta Independent School District,2312
Yukon Flats School District,2391
Yukon Public Schools,306
Yuma Elementary School District One,2085
Yutan Public Schools,yutan
Zapata County Independent School District,2305
Zion Elementary School District 6,1476
Zionsville Community Schools,2039
