,title_1,address,school_district,action,index
609,St. Charles Parish Public Schools,"13855 River Road * Luling , Louisiana 70070 * Ph: (985) 785-6289",,school_district,1346
610,Mason County Central Schools,,,school_district,1347
611,Northumberland County Career and Technology Center,"1700 West Montgomery Street, Suite 2000, Coal Township, PA 17866   570.644-0304",,drop,1350
612,Arkansas Tech University,"1509 North Boulder Avenue | Russellville, AR 72801",,drop,1353
613,Glen Lake Community Schools,,,school_district,1354
614,Compton Community College District,"1111 E. Artesia Blvd. | Compton, CA 90221",,school_district,1357
615,Central PA Digital Learning Foundation,"5580 Goods Lane Suite 1132 Altoona, PA 16602 | 814-682-5258",,drop,1359
616,Caro Community Schools,,,school_district,1362
617,Crestwood Local Schools,"Crestwood Local School District 10880 John Edward Drive Mantua, OH 44255 | 330-357-8206",,school_district,1365
618,Orange County Public Schools VA,"200 Dailey Drive, Orange, VA 22960 | 540-661-4550",,school_district,1366
619,Cobre Valley Institute of Technology,"1500 W. Panther Dr., Bld 3, Rm 206, Superior, AZ 85173 | (928) 542.9640 Mailing Address PO Box 176, Superior, AZ 85173",,drop,1367
620,Pike County Area Joint Vocational School,"175 Beaver Creek Rd. | PO Box 577 | Piketon, OH 45661 | 740-289-2721",,school_district,1369
621,"Town of Hadley, Massachusetts","100 Middle Street | Hadley, MA 01035 | (413) 586-0221 | f 413-586-5661",,drop,1371
622,Western Reserve Local Schools,"13850 Akron Canfield Road | Berlin Center, OH 44401 | 419-660-8508",,school_district,1374
623,Buchanan County Public Schools,"4447 Slate Creek Road, Suite 100, Grundy, Virginia 24614 | (276)935-4551 | (276)935-7150",,school_district,1376
624,Copley-Fairlawn City Schools,"3797 Ridgewood Road | Copley, OH 44321 | 330-664-4800",,school_district,1384
625,Royalton-Hartland CSD,"54 State Street Middleport, NY 14105 | 716-735-2000",,school_district,1385
626,Learning for Life,LSR-7,,drop,1386
627,Phelps-Clifton Springs CSD,"1490 State Route 488  Clifton Springs, NY 14432 | (315) 548-6420",,school_district,1389
628,Deckerville Community Schools,,,school_district,1394
629,Wrangell Public Schools,"P.O. Box 2319 | Wrangell, AK 99929-2319 | p 907-874-2347 | f 907-874-3137",,school_district,1396
630,Rising Sun-Ohio County Community School Corporation,,,school_district,1397
631,Educational Service Center of Central Ohio,"2080 Citygate Drive • Columbus, OH 43219 | 614.445.3750",,school_district,1398
632,Tolles Career & Technical Center,"7877 US Highway 42 S, Plain City OH USA 43064 | 614-873-4666",,drop,1400
633,Three Lakes Educational Cooperative KS,"1318 Topeka Avenue Lyndon, KS 66451 | 785-828-3113",,school_district,1401
634,"City of Lennox, South Dakota","107 South Main Street | Lennox, South Dakota 57039 | 605-647-2286 | f 605-647-2281",,drop,1403
635,WAY Academy of Flint,"817 East Kearsley, Flint, MI 48503 Phone: 810-412-8655",,school_district,1404
636,Okeechobee County School Board,"700 SW 2nd Avenue Okeechobee, FL 34974 | Phone: 863-462-5000 x 1026",,school_district,1407
637,Ravenna Public Schools,,,school_district,1414
638,Kalida Local Schools,,,school_district,1415
639,Kansas City Public School Retirement System,"3100 Broadway Street, Suite 1211, Kansas City, MO 64111",,drop,1423
640,Rancho Santiago Community College District,,,school_district,1424
641,Chesterfield County School Board,,,school_district,1426
642,Watervliet Public Schools,,,school_district,1427
643,Flushing Community Schools,,,school_district,1432
644,Cloverleaf Local Schools,"8525 Friendsville Road | Lodi, Ohio 44254 | 330-948-2500",,school_district,1433
645,Cardinal Local Schools,"15982 E. High Street | P.O. Box 188, Middlefield, Ohio 44062",,school_district,1434
646,Rapid River Schools,,,school_district,1439
647,Jackson Center Local Schools,"204 S. Linden Street | Jackson Center, OH 45334 | 937-596-6053",,school_district,1440
648,Elida Local Schools,,,school_district,1441
649,Uniondale Public Schools,"933 Goodrich Street, Uniondale, NY 11553",,school_district,1444
650,Cedar Springs Public Schools,,,school_district,1448
651,"City of Brentwood, MO","2348 S. Brentwood Brentwood Blvd, MO 63144 | (314) 962-4800",,drop,1449
652,Detroit Leadership Academy,"13550 Virgil St., Detroit, MI 48223",,school_district,1452
653,"Preparing Students for Career, College and Community","210 NE Duval Avenue Madison, Florida 32340 - Phone: 850-973-5022",,drop,1455
654,North Vermillion Community School Corporation,,,school_district,1459
655,Whitley County Consolidated Schools,"107 N Walnut St, Columbia City, IN 46725",,school_district,1461
656,Rogers Public Schools,"500 W. Walnut Street | Rogers, AR 72756 | (479) 636-3910",,school_district,1462
657,Sebring Local Schools,,,school_district,1463
658,Portage Public Schools,,,school_district,1467
659,Illinois State Board of Education,"100 N. 1st Street, Springfield, IL 62777 | 866-262-6663",,school_district,1468
660,Anderson Valley Unified,"12300 Anderson Valley Way, Boonville, CA 94515 • 707.895.3774 • f 707.895.2665",,school_district,1469
661,Continental Local Schools,,,school_district,1471
662,Orleans Parish School Board,"2401 Westbend Pkwy. Room 1050 | New Orleans, LA 70114 | 504-304-3520",,school_district,1472
663,New Buffalo Area Schools,"1112 East Clay St, New Buffalo, MI 49117-1540",,school_district,1475
664,St. Tammany Parish Public School System,"321 N. Theard Street  Covington, LA 70433  985-892-2276  f 985-898-3267",,school_district,1476
665,Clark-Pleasant Community School Corporation,"50 Center Street |  Whiteland, IN 46184 |  Ph: (317) 535-7579 |  Fx: (317) 535-4931",,school_district,1478
666,Rockland BOCES,"65 Parrott Road, West Nyack, NY 10994 • 845.627.4700",,school_district,1480
667,Howell Township Public Schools,"4567 Route 9 North, Howell, NJ 07731 | (732) 751-2480",,school_district,1481
668,1960,,School District of Milton,school_district,1482
669,Fredericksburg City Public Schools,"210 Ferdinand Street | Fredericksburg, VA 22401 | (540) 372-1130 | f (540) 372-1111",,school_district,1483
670,Tri-County Career Center,"15676 State Rt 691 | Nelsonville, OH 45764 | 740-753-3511",,school_district,1484
671,Township of Franklin Public Schools,"3228 Coles Mill Road | Franklinville, NJ 08322 | 856-629-9500 | f 856-629-1486",,school_district,1488
672,Cadillac Area Public Schools,,,school_district,1492
673,Insight PA Charter School,"350 Eagleview Blvd, Suite 350  Exton, PA 19341 | 484.753.4353",,school_district,1495
674,East Liverpool City Schools,"810 W 8th Street | East Liverpool, OH 43920 | 330-385-7132",,school_district,1496
675,William C. Abney Academy,"1435 Fulton St. East, Grand Rapids, MI 49503 Phone: 616-454-5541",,school_district,1499
676,SAU 70,"41 Lebanon Street, Suite 2 Hanover, NH 03755 | 603.643.6050",,school_district,1500
677,Roseland Public Schools,"1691 Burbank Avenue , Santa Rosa ,CA 95407",,school_district,1501
678,Hillsdale Community Schools,,,school_district,1502
679,Metropolitan Library System,300 Park Avenue|Oklahoma City|OK  73102|405.606.3726,,school_district,1504
680,Cedar Riverside Community School,"1610 S. 6th Street Minneapolis, MN 55454 | 612-339-5767",,school_district,1508
681,Nettle Creek School Corporation,,,school_district,1509
682,ESC of Lake Erie West,,,school_district,1512
683,Hudsonville Public Schools,,,school_district,1513
684,West Valley-Mission Community College District,"14000 Fruitvale Avenue, Saratoga, CA 95070",,school_district,1515
685,Genoa Local Schools,,,school_district,1520
686,Santa Clara County Office of Education,"1290 Ridder Park Drive | San Jose, CA 95131-2304 | (408) 453-6500",,school_district,1521
687,Pettisville Local Schools,,,school_district,1528
688,"City of Canton, South Dakota","210 N Dakota St. | Canton, SD 57013 | 605.987.2881 |f 605.987.2972",,school_district,1529
689,Three Rivers Community Schools,,,school_district,1531
690,Rockbridge County Public Schools,"2893 Collierstown Road • Lexington, VA  24450 • 540-463-7386",,school_district,1533
691,Kentwood Public Schools,,,school_district,1536
692,Mid-Ohio ESC,,,school_district,1537
693,Mason City Schools OH,"211 N. East Street | Mason, Ohio 45040 | (513) 398-0474",,school_district,1546
694,Lake Fenton Community Schools,,,school_district,1548
695,"SOARING FORWARD TO EXPLORE, CHALLENGE, AND SUCCEED","701 Clay Avenue, Tyrone PA 16686     Phone:  (814) 684-0710",,drop,1551
696,Home of the Covert Bulldogs,"Covert Public Schools | 35323 M140 Highway | Covert, Michigan 49043 | Phone: 269-764-3700 | Fax: 269-764-3754",,school_district,1552
697,Maryland State Board of Education,"200 West Baltimore Street, Baltimore, MD 21201-2595",,school_district,1557
698,Valdez City Schools,"1112 West Klutina Street, Valdez, AK 99686",,school_district,1561
699,Board of Education of Anne Arundel County,"2644 Riva Road | Annapolis, MD 21401 | Phone: 410-222-5311",,school_district,1562
700,Crawfordsville Community School Corporation,"1000 Fairview Ave. | Crawfordsville, IN 47933 | (765) 362-2342",,school_district,1569
701,Licking Heights Local Schools,"6539 Summit Road | Pataskala, OH 43062 | 740-927-6926",,school_district,1575
702,Fairfax County School Board,"8115 Gatehouse Road, Suite 5400 | Falls Church, VA |  571-423-1075",,school_district,1576
703,Amanda-Clearcreek Local Schools,,Amanda-Clearcreek Local School District,school_district,1578
704,Central Montco Technical High School,,,school_district,1584
705,Lincolnview Local Schools,"15945 Middle Point Rd. |  Van Wert, OH 45891 | p (419) 968-2226 | f (419) 968-2227",,school_district,1585
706,Spokane Public Schools,"200 N Bernard | Spokane, WA 99201 | (509) 354-5900",,school_district,1587
707,Central Noble Community Schools,,,school_district,1589
708,City of Lake Butler FL,"200 SW 1st Street, Lake Butler, FL 32054 | (386) 496-3401",,school_district,1592
709,Greene County Career Center,,,school_district,1597
710,Orange Public Schools,"451 Lincoln Ave.  Orange, NJ 07050",,school_district,1598
711,Tri-County School Corporation,,,school_district,1599
712,Littleton Public Schools,"5776 S Crocker St  |  Littleton, CO 80120   |   ph: 303-347-3391  |   fax: 303-347-4350",,school_district,1600
713,Warren County Career Center,"3529 N. St. Rt. 48 | Lebanon, Ohio 45036 | HS 513-932-5677 | AE 513-932-8145",,school_district,1601
714,East Shore Leadership Academy,"1403 7th St, Port Huron, MI 48060 Phone: (810) 294-8040",,school_district,1602
715,Yadkin County Schools,"121 Washington St. Yadkinville, NC 27055 | 336-551-1100",,school_district,1603
716,South Central Local Schools,3305 Greenwich Angling Rd | 419-752-3815,,school_district,1608
717,Tenafly Public Schools,"500 Tenafly Road  Tenafly, NJ 07670  Phone: 201-816-4500",,school_district,1609
718,Windham Exempted Village Schools,,,school_district,1610
719,White Cloud Public Schools,,,school_district,1611
720,Union Township School Corporation,,,school_district,1612
721,Prince George's County Public Schools,"14201 School Lane | Upper Marlboro, MD 20772 | Phone: 301-952-6000",,school_district,1613
722,2743 Washington Boulevard,,South Allegheny School District,school_district,1614
723,Avon Lake City Schools,"175 Avon Belden Road | Avon Lake, OH 44012 | 440-933-6210",,school_district,1617
724,Excelsior Charter School Corona-Norco,"1400 Fullerton Ave. Corona, CA 92879 | 951.547.7540",,school_district,1620
725,Copper Island Academy,"52125 Industrial Dr. N. Calumet, MI 49913 Phone: (906) 337-0443",,school_district,1626
726,SANTA CLARITA COMMUNITY COLLEGE DISTRICT (College of the Canyons),,,school_district,1629
727,Isle of Wight County Schools VA,"820 W MAIN ST., SMITHFIELD, VA 23430 | 757-357-4393",,school_district,1633
728,Byron Center Public Schools,,,school_district,1641
729,Cambridge City Schools,,,school_district,1644
730,Belding Area Schools,,,school_district,1645
731,Acushnet Public Schools,"708 Middle Road Acushnet, MA 02743",,school_district,1650
732,Orcas Island School Board,"557 School Road, Eastsound, Wa 98245 | Phone 360-376-2284",,school_district,1652
733,Leslie Public Schools,,,school_district,1654
734,Bridge Academy of Southwest Michigan,"499 W. Main St., Benton Harbor, MI 49022",,school_district,1655
735,Home of the Raiders,"110 Cedar Street, Decatur Michigan 49045 * Phone (269)423-6800 * Fax (269)423-6849",,school_district,1657
736,Hurst-Euless-Bedford ISD,"1849 Central Drive | Bedford, TX 76022 | Phone: 817-283-4461",,school_district,1659
737,Lenape Technical School,"2215 Chaplin Avenue | Ford City, PA 16226 | (724) 763-7116 | f (724) 763-9888",,school_district,1661
738,"City of Bryan, Texas","300 S. Texas Ave. Bryan, TX 77803 (979) 209-5000",,school_district,1662
739,Lancaster-Lebanon Intermediate Unit 13,,,school_district,1667
740,MSD of Martinsville,"389 East Jackson Street Martinsville, IN 46151 (765) 342-6641",,school_district,1670
741,Bangor Public Schools MI,"801 WEST ARLINGTON ST  BANGOR, MI 49013 | 269-427-6800",,school_district,1671
742,Suttons Bay Public Schools,,,school_district,1674
743,Colorado School for the Deaf and the Blind,"33 N. Institute Street, Colorado Springs, CO 80903",,school_district,1677
744,Martinsville City Public Schools,"746 Indian Trail P.O. Box 5548 Martinsville, Virginia 24115 | (276) 403-5820",,school_district,1679
745,Mathis ISD,"602 E San Patricio Ave Mathis, TX 78368 (361) 547-3378",,school_district,1682
746,Delaware City Schools,,,school_district,1683
747,Flagler County Public Schools,"1769 E. Moody Blvd. Bldg. 2 | Bunnell, FL | 32110 (386) 437-7526",,school_district,1684
748,Manassas City Public Schools,"8700 Centreville Rd. Suite 400 | Manassas, VA 20110 | 571-377-6000 | f 703-257-8801",,school_district,1686
749,Global Impact STEM Academy,"700 S Limestone St.  Suite B, Springfield, OH 45505 | 937-328-6600",,school_district,1687
750,Newton Falls Exempted Village Schools,"909 1/2 Milton Blvd, Newton Falls, OH 44444",,school_district,1688
751,Wayne Township Public Schools,"50 Nellis Drive, Wayne, NJ 07470 | 973-633-3000",,school_district,1689
752,Willard City Schools,,,school_district,1691
753,Franklin Community Schools,"998 Grizzly Cub Drive, Franklin IN 46131",,school_district,1693
754,Public Schools of the Tarrytowns,"200 North Broadway Sleepy Hollow, NY 10591",,school_district,1694
755,"Town of Maynard, Massachusetts","195 Main Street | Maynard, MA 01754 | 978-897-1301 | f 978-897-8457",,drop,1697
756,Delphos City Schools,"901 Wildcat Lane | Delphos, OH 45833 | 419-692-2509",,school_district,1698
757,New Bedford Academy,"6315 Secor Rd., Lambertville, MI 48144 Phone: 734-854-5437",,school_district,1701
758,Painesville City Local Schools,"58 Jefferson Street   |   Painesville, Ohio 44077   |   440-392-5060",,school_district,1703
759,"The Town of Taos, New Mexico","400 Camino de la Placita | Taos, N.M. 87571 | (575) 751-2000 | f (575) 751-2026",,drop,1704
760,Greater Clark County Schools,"2112 Utica-Sellersburg Road | Jeffersonville, IN 47130 | 812-920-1079",,school_district,1706
761,St. Clairsville Richland City Schools,"108 Woodrow Ave. | St Clairsville, OH 43950 | 740-695-1624",,school_district,1707
762,Worcester County Public Schools,"6270 Worcester Highway Newark, MD 21841 | (410) 632-5000",,school_district,1708
763,"The School Board of Palm Beach County, Florida","3300 Forest Hill Blvd. | West Palm Beach, Florida 33406",,school_district,1709
764,Ashtabula County Educational Service Center,"2630 West 13th Street, Suite A | Ashtabula, OH 44004 |  Phone (440) 576-9023",,school_district,1710
765,Allegany County Public Schools,"108 Washington Street · Cumberland, MD 21502 · P: 301-759-2000",,school_district,1711
766,Southmont Schools,,,school_district,1713
767,Southern Local Schools - Perry County,,,school_district,1717
768,Creative Technologies Academy,"350 Pine Street | Cedar Springs, MI 49319 | 616-696-4905",,school_district,1721
769,"Town of Monroe, New York","1465 Orange Turnpike, Lower Level | Monroe, NY 10950 | 845-783-1900 | f 845-782-5597",,school_district,1722
770,Aspire Public Schools,"1001 22nd Avenue Oakland, CA 94606 | (510) 434-5000",,school_district,1723
771,Jonesboro Public Schools,"2506 Southwest Square | Jonesboro, AR 72401 | 870-933-5800",,school_district,1725
772,Northwest Classical Academy,"3010 Cobb Parkway North, Kennesaw, GA 30152 | (470) 502-9700",,school_district,1730
773,Northridge Local Schools,"6097 Johnstown-Utica Rd, Johnstown, OH 43031",,school_district,1733
774,Colchester Public Schools,"127 Norwich Ave, Suite 202 | Colchester, CT 06415 | T: 860.537.7267",,school_district,1734
775,Town of Foxborough,"40 South Street | Foxborough, MA 02035",,school_district,1735
776,Arlington Public Schools,"2110 Washington Blvd | Arlington, VA 22204 | Phone: 703-228-6015",,school_district,1737
777,Battle Creek Montessori Academy,"765 Upton Ave., Springfield, MI 49037 Phone: 269-565-2460",,school_district,1738
778,North Montco Technical Career Center,"1265 Sumneytown Pike  |  Lansdale, Pa 19446",,school_district,1739
779,Northeast Arizona Technological Institute of Vocational Education,PO Box 710 Kayenta AZ 86033 | 928-466-8668,,school_district,1740
780,"Jefferson County Board of Education, WV","Washington High School, 300 Patriots Drive, Charles Town, WV 25414",,school_district,1749
781,South Monterey County JUHSD CA,"800 BROADWAY ST. KING CITY, CA 93930 | (831) 385-0606",,school_district,1751
782,Greenville Public Schools,,,school_district,1752
783,DeWitt Public Schools,,,school_district,1753
784,Copper Mountain College,"6162 Rotary Way Joshua Tree, CA 92252 Phone: 760.366.3791 Fax: 760.366.5255",,school_district,1754
785,Clarke County Public Schools,"317 W Main St, Ste A  |  Berryville, VA  22611  |  Ph: 540.955.6100  |  Fx: 540.955.6145",,school_district,1755
786,NEOLA Policy,,Michigan Center School District,school_district,1756
787,Southern Local Schools,,,school_district,1760
788,Crown Point Community School Corporation,,,school_district,1761
789,Smith-Green Community Schools,"222 West Tulley Street, Churubusco, IN 46723 | 260-693-2007",,school_district,1763
790,Contra Costa County Office of Education,"77 Santa Barbara Rd., Pleasant Hill, CA 94523",,school_district,1766
791,Upper Arlington City Schools,"1619 Zollinger Rd. Upper Arlington, OH 43221",,school_district,1767
792,City of Bristol Tennessee,"801 Anderson St. Bristol, TN 37621-1189    (423) 989-5500",,school_district,1768
793,Cameron Board Policy,,,drop,1775
794,Bendle Public Schools,,,school_district,1777
795,Bergen County Special Services,"540 Farview Avenue, Paramus, NJ 07652",,school_district,1781
796,Cincinnatus Central Schools,"2809 Cincinnatus Road | Cincinnatus, New York 13040 | Ph: 607-863-3200 Fx: 607-863-4109",,school_district,1782
797,Weathersfield Local Schools,"1334 Seaborn St Mineral Ridge Ohio, 44440",,school_district,1787
798,Home of the Super Berry,"3 Education Drive l Seneca, PA 16346 l Phone (814) 676-5628 l Fax (814) 677-5728",,school_district,1788
799,Placer County Office of Education,"1400 W. Stanford Ranch Road |  Rocklin, CA 95765  |  Ph: (530) 889-8020 Fx: (866) 840-2941",,school_district,1792
800,Howland Local Schools,"8200 South St. SE | Warren, OH 44484 | 330-856-8200",,school_district,1795
801,"JCS, Inc.","P.O. Box 2470/1704 Cape Horn Ave, CA Julian, CA 92036 | (760) 765-5500 X 101005",,drop,1797
802,East Newark Board of Education,"501 North Third Street, East Newark, NJ 07029",,school_district,1802
803,Rossford Exempted Village Schools,,,school_district,1803
804,Lake Tahoe Community College District:,"One College Drive | South Lake Tahoe, CA 96150 | 530-541-4660",,school_district,1804
805,Bensenville Park District,"1000 W. Wood Ave | Bensenville, Illinois 60106 | 630-766-7015",,drop,1807
806,Everett Public Schools Board of Directors,,,school_district,1811
807,Norton City Schools,"205 Virginia Ave NW, Norton, Virginia 24273  276-679-2330",,school_district,1812
808,Home of the Trojans,"27 Rehrersburg Road | Bethel, PA 19507| (717) 933-4611, ext. 1011",,school_district,1816
809,Louisville City Schools,,,school_district,1817
810,"David Hopper, Superintendent","Rock Hill Local School District 2325A County Road 26 Ironton, OH 45638",,school_district,1818
811,Southampton UFSD,"70 Leland Ln | Southampton, NY 11968 | Phone: 631-591-4500",,school_district,1819
812,Midview Local Schools,"13050 Durkee Rd Grafton, OH 44044 | 440-748-5353",,school_district,1820
813,Arlington Local Schools,,,school_district,1821
814,International Charter School of Atlanta,"1335 Northmeadow Parkway Suite 100, Roswell, GA 30076, US",,school_district,1823
815,Richmond County Schools,"118 Vance Street, Hamlet NC 28345 | Phone: 910.582.5860",,school_district,1825
816,Charles A. Beard Memorial School Corporation,"8139 W. US HWY 40, Knightstown, IN 46148",,school_district,1829
817,Leavenworth USD 453,"200 N. 4th Street | Leavenworth, KS 66048 | p (913) 684-1400 | f (913) 684-1407",,school_district,1831
818,Randolph Central School Corporation,,,school_district,1832
819,Zionsville Community Schools,,,school_district,1834
820,Long Beach City College,"4901 East Carson Street, Long Beach CA 90808  (562) 938-4124",,school_district,1835
821,Akron Central Schools,"47 Bloomingdale Ave. Akron, NY 14001 | (716) 542-5010",,school_district,1839
822,Baltimore County Public Schools,"6901 Charles Street | Towson, Maryland 21204 |443-809-4554",,school_district,1840
823,Sumter District Schools,"2680 West County Road 476 | Bushnell, Florida 33513 | Ph: 352-793-2315  Fx: 352-793-4180",,school_district,1841
824,Reading Muhlenberg Career & Technology Center,,,school_district,1843
825,Haslett Public Schools,,,school_district,1845
826,Northwestern School Corporation,"3075 N Washington St Kokomo, IN 46901 | 765-457-8101",,school_district,1847
827,Detroit Public Schools Community District,"12th Floor, Fisher Building | 3011 W. Grand Boulevard | Detroit, MI 48202 | (313) 873-7860 | f (313) 873-3284",,school_district,1848
828,Solon City Schools,,,school_district,1849
829,"The Village of Chatham, Illinois","117 E. Mulberry Street | Chatham, IL 62629 | p (217) 483-2451 | f (217) 483-3422",,school_district,1854
830,City of McPherson Kansas,"400 E Kansas Avenue | P.O. Box 1008 | McPherson, KS 67460 | 620-245-2535 | 620-245-2549",,school_district,1855
831,Santa Clara County Office of Education,"1290 Ridder Park Drive | San Jose, CA 95131-2304 | (408) 453-6500",,school_district,1858
832,Sumner County Schools,"695 East Main Street • Gallatin, TN 37066 • (615) 451-5200",,school_district,1859
833,HOME OF THE BULLDOGS,,BOYCEVILLE COMMUNITY SCHOOL DISTRICT,school_district,1860
834,City of Carbondale,"200 South Illinois Avenue | Carbondale, Illinois  62901 | (618) 549-5302 | f 618-457-3283",,school_district,1861
835,Capital Area Intermediate Unit,,,school_district,1862
836,Saginaw Public Schools,,,school_district,1866
837,School City of Whiting,"1500 Center Street Whiting, IN 46394 | Phone: 219-659-0656",,school_district,1868
838,Alma Public Schools,"1500 N. Pine Avenue, Alma, MI 48801",,school_district,1869
839,McBain Rural Agricultural School,,,school_district,1870
840,Yuba County Water Agency,"1220 F Street (F&13th Street) | Marysville, CA 95901 | 530.741.5000 | f 530.741.6541",,drop,1872
841,Thornapple Kellogg Schools,"10051 Green Lake Road, Middleville, MI 49333",,school_district,1873
842,Clinton City Schools,"300 Westover Road, Clinton, NC 28328 | Phone: (910) 592-3132 Fax: (910) 592-2011",,school_district,1874
843,Nelson County Public Schools,"84 Courthouse Square, P O Box 276, LOVINGSTON, VA 22949 | 434-260-7646",,school_district,1878
844,Perrysburg Schools,"140 East Indiana Ave. | Perrysburg, Ohio 43551 | (419) 874-9131",,school_district,1879
845,Sullivan County BOCES,"15 Sullivan Ave Suite 1, Liberty, NY 12754 | (845) 295-4000",,school_district,1880
846,Kokomo School Corporation,"P.O. Box 2188 | 1500 S. Washington Street | Kokomo, IN 46904-2188 | 765-455-8000",,school_district,1881
847,,"308 East 1st Street, Newton, KS 67114 | (316) 284-6200",Newton Public Schools Unified School District #373 KS,school_district,1882
848,,"32248 Crown Valley Road Acton, CA 93510 | 661-269-0750",Acton Agua Dulce Unified School District,school_district,1883
849,,"11 Pine Street | Englishtown, NJ 07726 | 732-792-7300",Freehold Regional High School District,school_district,1884
850,Ashland County-West Holmes Career Center JVSD,,,school_district,1885
851,The Educational Employees' Supplementary Retirement System of Fairfax County,"3110 Fairview Park Drive | Suite 300 | Falls Church, VA 22042",,drop,1886
852,Davie County Schools,"220 Cherry St. | Mocksville, NC 27028 | 336.751.5921 | Fax 336.751.9013",,school_district,1893
853,Community Schools of Frankfort,"2400 E. Wabash St. | Frankfort, IN 46041  |  Ph: 765-654-5585 | fx: 765-659-6220",,school_district,1895
854,Fort Recovery Local Schools,"400 E Butler St; PO Box 604  Fort Recovery, OH 45846 Ph: (419) 375- 4139  Fax: (419) 375 -1058",,school_district,1897
855,Jackson Local Schools,"7602 Fulton Dr NW | Massillon, OH 44646 | 330.830.8000",,school_district,1898
856,Medina County Career Center,"1101 W. Liberty Street | Medina, OH  44256 | Tel 330.725.8461 | Fx 330.725.6573",,school_district,1900
857,Heath City Schools,"107 Lancaster Dr. | Heath, OH 43056 | 740-238-7110",,school_district,1901
858,Home of the Panthers!,"200 N Farm Road | Oconto Falls, WI 54154 | Phone (920) 848-4471",,school_district,1902
859,Lawrenceburg Community School Corporation,,,school_district,1904
860,Wall Township Public Schools,"1620 18th Ave. Wall, NJ 07719",,school_district,1905
861,Meridian Public Schools,,,school_district,1906
862,Honey Creek Community School,"1735 S. Wagner Road, Ann Arbor, MI 48103",,school_district,1907
863,Geneva Area City Schools,,,school_district,1909
864,Agora Cyber Charter School,"1018 West 8th Ave | King of Prussia, PA 19406 | 844-402-4672",,school_district,1911
865,Sayville Public Schools,"99 Greeley AV Sayville, NY 11782",,school_district,1912
866,"City of Effingham, Illinois","201 E. Jefferson Avenue | Effingham, IL 62401 | 217.342.5300",,school_district,1913
867,Home of the Spartans,3601 Brownsville Road / Pittsburgh PA  15227 / Phone (412) 881-2227,,school_district,1915
868,Clearview Local Schools,"4700 Broadway Avenue | Lorain, OH 44052 | 440-233-5412",,school_district,1916
869,Hicksville Exempted Village Schools,,,school_district,1918
870,Middle Township Public Schools,"216 S. Main Street, Cape May Court House, NJ  08210",,school_district,1919
871,HOME OF THE MIDDIES,,MIDDLETOWN CITY SCHOOL DISTRICT,school_district,1923
872,MSD of Decatur Township,"5275 Kentucky Avenue | Indianapolis, IN 46221 | 317-856-5265",,school_district,1926
873,Circleville City Schools,,,school_district,1928
874,Stanly County Schools,"1000-4 N First Street, Albemarle, NC 28001",,school_district,1930
875,Welcome to Buckingham County Public Schools,"15595 West James Anderson Highway, Buckingham, VA 23921",,school_district,1931
876,NEOLA Board of Education Policy Book,,New Glarus School District,school_district,1932
877,Ewing Township Public Schools,"2099 Pennington Road | Ewing, NJ 08618 | p (609) 538-9800 | f (609) 538-0041",,school_district,1933
878,Cumberland Perry Area Career and Technical Center,,,school_district,1935
879,Hamilton County ESC,"11083 Hamilton Avenue | Cincinnati, OH 45231",,school_district,1939
880,Duanesburg Central School,"133 School Drive, Delanson, NY 12053 | (518) 895-2279",,school_district,1940
881,Madison Consolidated Schools,,,school_district,1942
882,Nicholas County Schools,,,school_district,1946
883,The Board of Education Policies,,Northern Local School District,school_district,1947
884,Byron Center Charter School,"9930 Burlingame Ave. SW | Byron Center, MI 49315 | 616-878-4852",,school_district,1948
885,Indianapolis Public Schools,"120 E. Walnut St. | Indianapolis, IN 46204 | 317.226.4418",,school_district,1949
886,Liberty ESD No. 25,"19871 West Fremont Road, Buckeye, AZ 85326 | Phone 623-474-6600",,school_district,1952
887,Huntingdon County Career and Technology Center,"11893 Technology Drive, P.O. Box E, Mill Creek, PA 17060",,school_district,1954
888,Pittsfield Acres Academy,"4377 Textile Rd. | Ypsilanti, MI 48197 | 734-210-0660",,school_district,1957
889,Mercer County Technical Schools,"1085 Old Trenton Road, Trenton, NJ 08690",,school_district,1958
890,Willoughby-Eastlake City Schools,"35353 Curtis Blvd., Eastlake, Ohio 44095 | p (440) 946-5000 | f (440) 946-4671",,school_district,1964
891,Savannah-Chatham County Public Schools,"208 Bull Street | Savannah, GA 31401 | Phone: (912) 395-5600",,school_district,1966
892,Brielle Elementary School,"605 Union Lane  Brielle, NJ 08730",,school_district,1969
893,MONTPELIER EXEMPTED VILLAGE BOARD OF EDUCATION,"1015 E. BROWN ROAD, MONTPELIER, OH  43543",,school_district,1970
894,Bloomington Public Schools,"300 East Monroe |  Bloomington, IL 61701 | Ph: 309-827-6031 | Fx: 309-827-5717",,school_district,1974
895,CASD School Board Policy Manual,"540 E Pleasant St  Corry, PA  16407",,drop,1975
896,River Forest Community School Corporation,"3250 Michigan St. Hobart, IN 46342 | (219) 962-2909",,school_district,1978
897,Fowlerville Community Schools,,,school_district,1980
898,Jackson Preparatory and Early College,"211 Emmons Road  | Jackson, MI 49201 | (517) 768-7093",,school_district,1981
899,Northern Neck Technical Center,"13946 Historyland Highway Warsaw, VA 22572 | (804) 333-4940",,school_district,1982
900,Seaford UFSD,"1600 Washington Avenue, Seaford, NY 11783 Phone: (516) 592-4000",,school_district,1983
